name,day,month,year,date,rating,comment,detailedReview
PS...,27,February,2019,February 2019,4,Loving it!!,"I have been yogabar breakfast bars fan. So, I thought of giving the muesli a try. I was using kellogs muesli from a long time that tasted great but i was not liking huge corn flakes in it..So, at first the muesli taste was a little weird as i was used to diff muesli.. but second time onwards i liked the taste. It's great quality muesli."
Shobhi,28,February,2019,February 2019,5,Healthy and tasty,"YogaBar offers variety of museli's and must say this flavour is delicious and healthy. The presence of rich nuts and dried fruits along with cranberries, apricots and other ingredients make a perfect super lovely breakfast for me. It makes my stomach full and also make me stay fit. Thanks to yogabar for such amazing healthy food"
mum_n_kiddos,1,March,2019,March 2019,5,Awesome taste and a healthy breakfast option,"Morning breakfast is now easy with this delicious crunchy muesli. Me being a fruits and nuts lover, loved it and it has all berries which gives awesome taste. All healthy ingredients like oats, brown rice flakes, raisins, cranberries, apricots. Black currants ,quinoa, pumpkin, chia and flax seeds, this is a combined mixture of all healthy foods. Just 200 calories and I am sorted in morning. Tastes best with cold milk. Even it makes a great dry snacking option anytime during the day. Perfect when you are on balanced diet and will recommend you all to give it a try."
Kapil Sharma,1,March,2019,March 2019,5,Tasty and healthy snack.,"This is a very good breakfast snack loaded with fruits, nuts, seeds and muesli which gives you long lasting energy for 4-5 hours continuously. it helps you to stay fit and lean without skipping any meal.

Some of good things about it:

1. It contains complex carbohydrates from quinoaz oats and brown rice. Hence, it will not increase your blood sugar level.

2. It is very delicious and tasty. I bought strawberry flavour and I feel like eating ice cream.

3. Flex and chia seeds contained in it gives you a good dose of fiber so you won't get problems like constipation.

4. It is very high in protein so if if you're someone who wanted to build muscle mass then use this."
Saurabh,1,March,2019,March 2019,5,Best cereal for my diet,"I've tried all the flavors of Yogabar and this one is my favorite one.

The best thing is in budget and have a perfect mix of nuts and grains. A bowl in a breakfast keep my tummy full and energetic."
Suraj gupta,1,March,2019,March 2019,5,Smart purchase,"Delicious bar that contains everything you need to keep healthy and fit. Protein bars are a great way of supplying your body with protein, carbohydrates, fiber, vitamins, minerals and are perfect replacement of normal meals. ... Protein bars are perfect mix of delicious flavors and superior nutrients."
Hari Santhosh,2,March,2019,March 2019,2,best product,best product but price is to high
Swapan,3,March,2019,March 2019,3,How the product quality is?,Not at all good product. It contains mostly puffed rice and low cost seeds with negligible dry fruits.
Manu Gupta,3,March,2019,March 2019,5,Loved it,"This is an amazing product, the packet is full of nutricious ingredients and they are yummy too. just add milk of your choice(warm or cold) and add this to it and you are good to go. everything is fresh and crisp."
Utpal Kalita,4,March,2019,March 2019,5,Better than Baggry's,Taste really good. Nuts and seeds are in good quantity.
Tejaswini,5,March,2019,March 2019,5,A good product.,Taste wise it's 👌.. I liked it. Very healthy.
Shalakka,5,March,2019,March 2019,5,another great product by Yogabar,"after the bars , the museli is also tasty and can be had for breakfast lunch dinner or even otherwise. Good stuff...."
Genuine customer,6,March,2019,March 2019,5,Yummy product,"Good product . Timely delivered.this classic tasting muesli will help you achieve all your weight management goals . Made from 100% natural ingredients. Rich in nuts and dried fruits like almonds , raisins , cranberries, apricot. Light yet filling breakfast"
ritika17✔,6,March,2019,March 2019,5,Tasty & Healthy,"The packaging was good , muesli was inside the box in airtight bag. Its taste yummy and very health for breakfast. I love it this is my favourite flavour. I will more buy more in future."
pramod kumar,7,March,2019,March 2019,5,Good to eat,Good product.
amit,10,March,2019,March 2019,5,"It actually has plenty Fruits, Nuts + Seeds","It is far better than Baggry's, Kellogs & a little better than Gaiaa. I highly recommend this & am buying this again for sure."
Rohan,10,March,2019,March 2019,5,Suggest you to do not add sugar,"Just wow... better than other mixed fruit muesli this is the perfect combination.
Suggest you to do not add sugar just take luke warm or cold milk mix Muesli and wait for just 2-3 mins and then enjoy."
Shivam Tyagi,11,March,2019,March 2019,5,Good product,"This muesli taste very good , all the indegreants are very healthy, oats , flax seeds , carnberries , almonds , kishmish and many more things makes the greath taste and makes it healthy also"
ankita r.,11,March,2019,March 2019,4,Worth buying,Yogabar stood out in terms of taste and ingredients when compared with other popular breakfast mueslis like Kellogg's. It comes with various beneficial seeds and dried fruits and is not excessively sweet which usually is usually the case. Would definitely repurchase this but it just takes a lot of time to arrive.
Shanu Maurya,12,March,2019,March 2019,4,Good taste!,I like this product.
Rashmi Udani,14,March,2019,March 2019,5,Must for healthy eating habit,"This is for someone who would like to go on a strict diet. The taste of fruits and nuts especially cranberry will be something that you will crave for. You can add it to Milk, curd, orange juice or simply have it as it is. Yogabar has now become a known brand for Museli and bars. The Museli is really very tasty and crunchy, full of nutritious value and lots of fibre."
DSood,14,March,2019,March 2019,5,Welcome change from the standard breakfast cereals,"A welcome change from the standard breakfast cereals, great nutritional value and taste. Good quality raisins and cereals make it a delight to eat. Apart from having it in breakfast I use it for quick snacking which is healthy and tasty. Loving it."
Bhavuk Taneja,14,March,2019,March 2019,5,Very good product,"I personally liked dark chocolate flavour more but even this one is as good as the Chocolate variant in terms of quality and content.

Its a great buy."
Amazon Customer,14,March,2019,March 2019,2,Just Okay,"Just okay not good, very sweeter & feel much additives.
no any natural feel"
Akshita Dhiman,14,March,2019,March 2019,5,Its amazing,Its good
Ravi Sharma,16,March,2019,March 2019,5,Great Taste,Tatar’s is amazing
Amzn consumer,16,March,2019,March 2019,5,Excellent dietary supplement,"This is an excellent dietary supplement for persons suffering from gluten allergy and autoimmune disease, coeliac disease.Can have It also plain without milk or yoghurt."
Patricia Vishwanathan,17,March,2019,March 2019,5,Yoga bar ❤️,"I keep searching for breakfast which takes less time to get prepared and which should be healthy and tasty.
This fits my taste well as well as fits my budget too. It's very healthy and tasty."
DrPandya,17,March,2019,March 2019,1,Stale and Smelly,"The first product was awesome. The repeat order was super stale, thready and sticky.. It smelled like yuck"
Rahul Agrawal,17,March,2019,March 2019,5,Perfect Start with healthy breakfast,"Healthy breakfast with rolled and toasted whole grain flakes with raisins, apricots, cranberries, pumpkin seeds & nuts

Very Good smell and perfect taste

I am loving it

Ideal for Perfect Start with healthy breakfast"
Anukampa,17,March,2019,March 2019,5,Good product,"Have lots of seeds,nuts n berries. Goid product n worth the price"
Amaaazon customer,17,March,2019,March 2019,5,Healthy and tasty,It’s great so far .
Arun,20,March,2019,March 2019,4,Good,Good
Paresh,21,March,2019,March 2019,5,Healthy snack,"The product is best for my morning brkfast and pre/post workout. The taste is just fine, with the sweetness coming from natural ingredients. It makes a good rich in fibre, protien and carbs all in one snack. Hope it makes. Delivery by Amazon was on time."
stw 1234,23,March,2019,March 2019,1,didnt like it,Not that tasty
mia,24,March,2019,March 2019,5,Delicious and healthy,Very nutritious and tasty!
Kartikey,27,March,2019,March 2019,5,Healthy Tasty,"Nice product
AS IT CONTAINS VERY LESS HARMFUL 3 S
SODIUM ,SATURATES AND SUGAR
I LIKED THE PRODUCT
DEFINITELY ONE SHOULD BUY THIS MUESLI IF SOMEONE IS VERY HEALTH CONSIOUS"
Kalidas Nilapalle,27,March,2019,March 2019,5,Good source,Good for breakfast
Anisha,28,March,2019,March 2019,4,Perfect Morning Cereal,This is the perfect morning breakfast cereal for the job-goers.
Kagalkar,29,March,2019,March 2019,1,Bad choice,Worst product. Taste is very bad... Not up to the mark.
Debkumar Singha,29,March,2019,March 2019,5,Fruits museli,Good tasty product
"Mrs. D'Silva, Mangalore, Karnataka",30,March,2019,March 2019,5,Super,Super
ANUJ khanna,30,March,2019,March 2019,5,Yummy plus healthy,"You will not get better and healthier muesli in India. Yoga bar guys have ticked all the boxes. Kudos!! Give me marketing job with you guys!! Damn, usp is the quality!!"
Saroj,3,April,2019,April 2019,5,Quality breakfast,"The Muesli is a perfect mixture of Wheat, Corn grits, Rolled Barley, Rolled oats, Rice & Dry Fruits & Nuts- 20%(Raisins, Almonds).

It is filled up with Vitamins, Minerals and Antioxidant which is needed for you everyday just mix some fruits what all you like and the best dish is ready for you."
Archo91,3,April,2019,April 2019,5,Good for Breakfast .,Tasty and Healthy. No Sugar added . Gives you a prefect breakfast. Also beware that it should be kept in airtight containers. And Some insect might get inside. so keep in hygenic place.
Sindhu,3,April,2019,April 2019,5,Very Healthy breakfast,Great taste. Very healthy. Go for it!!
LR.,4,April,2019,April 2019,5,Great in taste !,"I totally loved this product , both for crunchiness and taste ! The cranberries and raisins add to the sweetness and flavor ; while the crunchy texture of seeds are delightful ! It could have been more affordably priced as its a v healthy family breakfast option , and can be consumed daily ."
vish,5,April,2019,April 2019,5,Good Product,Fresh and Healthy with a combination of fruits & seeds. Good choice for morning breakfast.
Soma,6,April,2019,April 2019,4,Just ok,"It is crunchy n good,I like the little pumpkin seeds which r un4tunately less in it..I gave 3stars (see update) coz it's very sweet 4me,I dnt eat that much sweet,so I was drinking cold milk with it (without pouring the milk in it,otherwise it wud have lost its crunch)..the milk seem 2help cut down all the sweetness..but the sweetness is not from sugar,it comes from Jaggery that has been added 2it..I dnt love the taste very much,but I dnt dislike it either..if this helps me loose weight a little bit,why not eat it :-)
I also got the dark chocolate one,will try it after finishing this1 :-)
Try it out :-)
Update-after 3-4days of eating this,I started 2like it very much (giving 4stars now)..if I loose weight, I'll give 5stars :-D"
akash,8,April,2019,April 2019,5,Super tastey 😋😋😋😋😋😋😋😋,Super tastey😋😋😋😋 and full of dry fruits. Crunchy and healthy. Go for it. You can take it with both cold or hot milk. Perfect breakfast to kick off the day
anita garasiya,9,April,2019,April 2019,5,Very good,Healthy and testy
Ajitesh,9,April,2019,April 2019,5,Health y,Tasty
शंभूराजे,15,April,2019,April 2019,5,Very nice food,Really good
Piyush agrawal,16,April,2019,April 2019,5,Best morning breakfast,Taste is best and quality is good .. Don't think about go for it
Kiran,17,April,2019,April 2019,5,Healthy & Tasty,Good healthy product with great taste.
Amazon Customer,19,April,2019,April 2019,5,Go for it,Im searching for best musli that contains low sugar and have natural ingredients. Im searching from last 3/4 months and I finally get this that satisfies my expectations
Shaurya mishra,23,April,2019,April 2019,5,Le skte ho,Shandar taste
Jay,26,April,2019,April 2019,5,Good,Good taste
JLG,27,April,2019,April 2019,3,🌟🌟🌟,👎
Prachi Jain,2,May,2019,May 2019,5,Good cereal,"Although the product is a bit more on the expensive side, the quality of the cereal is really good and has lots of nuts and berries which are not sugar coated."
Sneha,3,May,2019,May 2019,3,Small stone found in muesli :(,Found small stone in muesli.... Very disappointed on very first day of my diet.
kanhaiya,3,May,2019,May 2019,2,normal,not that great just ok quality and taste. tried first time this brand not a happy experience. will buy different items now and make it at home
dilip,4,May,2019,May 2019,5,Good product,Flavour and taste both good
Amazon Customer,8,May,2019,May 2019,5,Good product,"Quality is excellent, a bit costly thou"
anvi,9,May,2019,May 2019,5,Must have breakfast muesli...,Price should be a little less...
Amazon Customer,10,May,2019,May 2019,3,Just adding nuts and berries Doesn't make it good,Just adding nuts and berries Doesn't make it good
Sayon Overseas,11,May,2019,May 2019,5,Really good when compared to commercial brands like Kelloggs,The quality of the ingredients is good when compared to commercial brands like Kelloggs. Will definitely buy again!!
UTKARSH SHARMA,13,May,2019,May 2019,5,Loving it,"OMG this is the best muesli i have ever tasted. No added sugar, but the fruits more than make up for the taste. Go for it"
pallavi,14,May,2019,May 2019,3,Tastes yuck,Taste damn bad nd others r much better i think taste wise.
vivek,16,May,2019,May 2019,5,Good job yogabar,Its a nice balanced breakfast. Just add milk. And you are ready to eat. Nice crunch of seeds and sweetness of fruits. You dont need to add any sugar at all. Starts my day well.
Viney Sagar,19,May,2019,May 2019,2,Bad experiance,Very less protien. 50 gm = 6 gm protien.. Bulshit. Atleast 20 gm protien should be there... Protien is most important nutrient.
Krishna,21,May,2019,May 2019,4,"Good quality, excellent packaging",Bought this as it is one of the very few muesli with seeds. I'd have preferred a more crunchy texture but it isn't so bad. Ingredients used seem to be of good quality especially the raisins but are a bit too large for my liking. The packaging is really good. The muesli is in a resealable pouch with one transparent side which helps check the level of cereal remaining
aravind p nair,22,May,2019,May 2019,5,"Healthy, delicious and worth the money","Tastes good and healthy too.. a good replacement for breakfast esp. If work timings are tight for cooking a elaborate breakfast... i have it with honey, milk and dates syrup... love the combo"
Mithun,23,May,2019,May 2019,3,Cream biscuit/waffers taste..not good,Taste is like strawberry cream biscuit/waffers..not for those who are planning to reduce weight..Please choose kellog's Muesli fruit instead..it has better taste..if you are on strict diet then please choose Baggry's muesli which is plain and not sweet at all..Tried Yogabar once and going back to Kellog's..
Mritunjay Kumar,25,May,2019,May 2019,5,Just wow,Amazing product ...i was using healthkart cereal but in regular it become worse in test but this is amazing test ...just go for it...i have brought many brands but found those cheater who put false rating ...but now found good one ..and I'm not writing bcz i have been paid... I'm writing bcz no one's money should be wested
Monica,25,May,2019,May 2019,4,Delicious,"It got my 12 year old to eat muesli for breakfast, which is a good thing!"
FORCE INDIA,26,May,2019,May 2019,5,Nice taste.,Healthy food and I will buy it again.
RS,27,May,2019,May 2019,2,Disappointed,"The Muesli had very little nuts and a lot of seeds. Some of the raisins still had their stems/twigs attached to the fruit, suggesting they were not cleaned before mixing. Didn't enjoy the product as much as I had thought I will. Big disappointment."
sakshay,27,May,2019,May 2019,5,Dub dub,Good
Swathi,29,May,2019,May 2019,4,Can buy once,Good. Can buy once
Suss,29,May,2019,May 2019,4,Taking too much time,Good
Ali Husain,29,May,2019,May 2019,5,7007118461,I love it
Ramesh K,30,May,2019,May 2019,5,Best among the morning cereals,I have tried different Muesli brands. This one so far is the best one and more close to original Swiss Muesli. Too bad that it is not available in my local supermarket. I have to order this every time through Amazon only.
Amazon Customer,30,May,2019,May 2019,5,"Good Muesli, overpriced on Amazon","I found this for 200/- in the local general store.
The Chocolate flavour is good too."
Nidhi Verma,31,May,2019,May 2019,5,Thanq,Value for money please increas quantity more
Anmol raj,1,June,2019,June 2019,4,Best,Best
Sweetu,3,June,2019,June 2019,5,Taste is very good and yummy..,Recommended to buy. Super crunchy flavour... Yyyuuummmm
Jigar,3,June,2019,June 2019,1,Plz don't by this item Vry bed test,Not gud item
pr@rmgr,3,June,2019,June 2019,5,One of the best muesli,Very scrumptious
payal,4,June,2019,June 2019,5,Excellent,Loving the taste and the quantity of seeds and nuts in this. Adding more flavors or variants would be a plus. Overall I am addicted to this cereal.
Amazon intellectual customer,6,June,2019,June 2019,5,Nice,I like it..
ViDS,7,June,2019,June 2019,5,Good to buy,Good taste. healthy product
amar maske,7,June,2019,June 2019,5,Good musli with lots of fruit chunks and nuts,It's better than Kellogg's musli and other brands. Taste is decent.
giby,7,June,2019,June 2019,5,Good,Good
Namrata,9,June,2019,June 2019,5,Nice,I loved it !
Prof.M.P.Jaiswal,17,June,2019,June 2019,1,Not Good.,"Very hard, full of Sugar."
anil kumar,18,June,2019,June 2019,5,best for breakfast full of fiber and protiens,"this is a very good and amazing product who don't have time to cook breakfast, this is fast and easy full of nutrients better in taste full of fibers and protein raw nuts and much more.
I recommend it for the best breakfast in a hurry."
shruti,18,June,2019,June 2019,5,Just go for it,It so good and tasty. Super healthy. A definite buy
Pragyan P.,20,June,2019,June 2019,5,Great ❤,"It has lots of dry fruits.
Good and healthy. It has sweetness to it so you don't need to use any extra sugar. But if you want you can accn to ur taste.
Its taste more good wen u mix it with cornflakes."
Rahul Gupta,21,June,2019,June 2019,4,Good product,Taste not very good but good for your health
Ajay M.,21,June,2019,June 2019,5,Good Product with delicious flavor,Excellent mix of all seeds and grains
Aritra Guin,22,June,2019,June 2019,1,PRODUCT NOT UP TO THE MARK,Product not up to the mark nor its customer care.
BIRBAL KUMAR JAIN,24,June,2019,June 2019,4,Yogabar Wholegrain Breakfast Muesli Fruits,Not very attractive
Suvangkar g.,24,June,2019,June 2019,5,Good,Good
JANEY,25,June,2019,June 2019,5,Good product,Great taste..
Customer,25,June,2019,June 2019,5,Ok,Ok
Mrutyunjaya Jena,27,June,2019,June 2019,5,A bit different type of Muesli and surprisingly tastes good as well,"I am used to eating Kellogs Muesli on a regular basis. Wanted to try something different. Yogabar muesli has a lot of seeds, nuts and fruit pieces in it. Even though it has so many different things in it, it still tastes good and gives a healthy snack option."
Anthony,28,June,2019,June 2019,5,Feedback,Very healthy and tasty
Dr Uday Mehta,30,June,2019,June 2019,5,Good quality product yet a bit pricy,"Folks, I like the good quality of the product and what I dislike is it's a bit pricy. I suggest for the same price, they should offer 500g instead of 400g. That would be true value for money. Else it's fine."
Anooja George,30,June,2019,June 2019,4,☺,Tasted good..
Tanya jaiswal,1,July,2019,July 2019,5,Tastier and healthier alternative.,"Ordered this product few days back For a change! But I'm glad to say that i haven't got disappointed at all. As the name suggests it contains good amount of dry fruits,nuts and seeds and is really delicious. It's tastier, healthy and better than the other brands out in the market. It's available at a very pocket friendly price. The best thing is that this one do not contain corn flakes which i do not like at all and wanted a good replacement for that as well. I'd like to recommend this product to everyone."
Amazon Customer,1,July,2019,July 2019,4,"Nice combination of whole grains, dried fruits and seeds",Loving the taste..
Fateh,1,July,2019,July 2019,5,Fit n lyt,I use to take it early after workout.. i observe that it is lyt and healthy...its flavour is amazing..i think all the products of yoga bar is jst amazing. Very happy to get this in a cheap rate..thanks
Best Product Reviews,2,July,2019,July 2019,5,Much better than other brands,"All ingredients mentioned on the box like oats, brown rice flakes, raisins, cranberries, apricots. Black currants ,quinoa, pumpkin, chia and flax seeds are added in good quantity.
The packaging is also very practical, muesli is stored in zip-lock pouch. Its much better than kelloggs and bagrrys."
Sohail Hasan,3,July,2019,July 2019,4,good,good healthy snacks
Aditya sonkar,3,July,2019,July 2019,4,Try it,Tasty but costly
Paras Gambhir,3,July,2019,July 2019,5,Best breakfast,"This muesli has a lot of anti-oxidants and had a mixture of fruits and seeds.

The best part is blueberry,my personal favourite. Cranberries and apricots are a plus.
You have rolled oats almonds..so much natural in one meal feels great."
omnath,4,July,2019,July 2019,5,It's yummy and tasty 😋,Nothing to say.... it's really best breakfast you can have... really tasty and healthy everyone will have it without any second thought.
Brynel C.,4,July,2019,July 2019,5,Healthy and tasty,Well packaged and super tasty and heathy. Quantity and taste of the product is too good.
KAZUKI MAEDA,4,July,2019,July 2019,5,Good taste for foreigner too.,"Good taste for asian foreigner.
I feel not masara fraver so tasty."
VINAY DOSHI,4,July,2019,July 2019,5,Perfect Breakfast Snack,"A Perfect Breakfast Snack and the best quality and perfect cost.A glorious blend of rolled and toasted whole grain flakes with raisins, apricots, cranberries.Rich in Nuts & Dried Fruits. This one perfectly fits like one of my meal options."
Bala,4,July,2019,July 2019,5,Good for breakfast,Good for breakfast
Jaideep Singh,4,July,2019,July 2019,5,Way vetter than Kellogg's and other fake nutrition cereal.,Sorry Kellogg's. You've been disappointing with your taste but overcompensating by your marketing. You're out. Get better.
Precious George,4,July,2019,July 2019,5,Yummy,Absolutely yummy and healthy. Not only did i but everyone in my family loved it. Best part is its available in other flavours too. Looks like this is going to be a part of my family breakfast and snack for a long long long time. Must try surely
Mokshali Morakhiya,4,July,2019,July 2019,5,Eat healthy stay healthy,"The perfect breakfast with a divine flavor of cranberries and nuts.
Worth buying the product since it comes in a huge packaging and its sufficient for a person to eat a healthy breakfast and stay healthier.
Loved it.
It tastes amazing."
Chigs,5,July,2019,July 2019,4,Good one,Good product with strawberries flavour and best for the people who are in diet coz it contains good amounts of protein fiber and omega3 but the problem is a little bit pricy😄
Yummy Singh,5,July,2019,July 2019,5,The perfect breakfast,"Breakfast couldn't be better with this product. The museli is super yummy with lots of nuts and dry fruits. It makes it nice and crunchy .
The best part the packing is nice , it comes with a zip lock so the crunch is also retained and museli remains fresh"
VINOJ JAISON R,5,July,2019,July 2019,4,Cost is high,Product is good but not Value of mony
Mannu Mehta,5,July,2019,July 2019,5,Awesome taste,Nice
Farheen ali,5,July,2019,July 2019,5,Thanks Amazon 😍🤗,Very tasty
Ashish Chandan,5,July,2019,July 2019,5,A good breakfast cereal,"Breakfast cereal is a healthy alternative if your goal is towards a healthy lifestyle and Yoga Bar is an Indian startup which provides healthy snack options at a very attractive price point. This is one of the product which I like otherwise. The assortment of fruits, nuts and seeds along with Museli and oats is a nice touch. The packet is quite presentable and looks interesting. Overall I am satisfied with my purchase and would definitely buy again."
Vinay,5,July,2019,July 2019,5,perfect healthy breakfast option,This muesli is perfect for healthy breakfast. It's made up of 92% whole grains and full of Proteins and fibre which is absolutely necessary for healthy body and mind. you will feel energetic whole day long.
Reena verma,6,July,2019,July 2019,5,Excellent,"Morning breakfast is now easy with this delicious crunchy muesli. Me being a fruits and nuts lover, loved it and it has all berries which gives awesome taste. All healthy ingredients like oats, brown rice, flakes, pumpkin, chia and flax seeds, this is a combined mixture of all healthy food perfect when you are on balance diet and will recommend to all"
SIDDHARTH D.,6,July,2019,July 2019,4,Packaging Details and Product not clear,"I actually wanted to purchase cereal bars but landed up buying the museli instead since the packaging in bold displays your label as ""YOGA BAR"". I would suggest that the packaging should boldly
display the contents alongwith the label so that the customer doesn't get confused by the label and the actual content as in my case."
shruti,6,July,2019,July 2019,5,Stay fit!try this,"The product has immense nutritional value and best suited for the people want to loose weight.
No cholesterol or added sugar.Fully made of whole grain and oats.This product makes morning easy with no cook,deliciously crunchy muesli!It is choice to be healthy and this product is best for the same.
The flavour is very nice. You can make it regular intake food to have perfect body.This will enhance the strength and gives energy before workout as well.This product is gluten free .Additionally has high protein content and enriched with omega3.
Try and get the best results."
preeti,6,July,2019,July 2019,5,Highly recommended,Very health and fantastic flavour
Anant k,6,July,2019,July 2019,5,Must try... must buy,Nutritious morning breakfast supplement
Taranjit Ghai,7,July,2019,July 2019,5,Best option for breakfast,"I am taking this in my breakfast along with peanut butter and protein shake
I love it's delicious taste and it is full of natural and healthy ingredients like Fruits, Nuts and museli Seeds, Quinoa, Oats and Brown Rice, Chia and Flax seeds . Being a gym freak it is a perfect Meal Replacement for me as it is high in protein and fibres ,I am fully satisfied with my purchase and recommend it to all the gym freaks out there also I am thinking to try the other variants too
Hope that they are equally delicious in taste."
Amazon Customer,7,July,2019,July 2019,4,"Healthy product, enough for breakfast",I like this product very much now I can make this at home with oats and all other stuff and just wanted to try this.
Irfan,7,July,2019,July 2019,5,Highly recomend it,"Antioxidant Rich Cranberry.
82% Whole grains + Nuts + Seeds.
Made from 100% Natural Ingredients.
Whole grains: Quinoa, Oats and Brown Rice.
Rich in Nuts and dried fruits: Almonds, Raisins, Dried Cranberries Rich in Seeds: Pumpkin, Chia and Flax.
Truly its an amazing product coz it is healthy more on that its tasty .
I strongly recomend it .
Thanks to seller and amazon."
Gurpreet khera,8,July,2019,July 2019,5,Amazing taste,"This museli is so very tasty, you get the idea as soon as you open the packet, such a sweet smell comes that you become it's fan instantly.
Now talking of the nourishment, it has around 10-12 GM's protein and good amounts of carbohydrates and good fats that keep you charge throughout the day, and preparing it is also very easy. Best suited for those who live in hostels or have to rush to work early in the morning and still want a healthy food.
I recommend to buy this product."
PuneetWasHere,8,July,2019,July 2019,5,Great in taste!,"After trying their chocolate cranberry variant, I picked up this fruity and nutty muesli from Yoga Bar and it’s even better! A perfect mix of muesli with dried up fruits, nuts and seeds, it goes well with cold milk. I enjoy it best with a spoonful honey or no sugar at all. The crunch is yum and it fills you up for long too. The fibre keeps my system light and the mix of nuts and seeds delivers consistent energy and protein. I’m happy with this unique start to my day and loving my mornings even more! Pick it up if you’re on diet or just looking for a new breakfast cereal."
Kiran,9,July,2019,July 2019,5,Simply amazing,"I have tried many mueslis available in the market but this one has become my favourite, as u open the packet u get this amazing smell, so I tried it with milk in my breakfast and it tasted amazing, no sugary syrups added, there were dates, seeds and whatnot they tasted amazing, I gave it to my friends and they were like crazy about a muesli could taste like this, must buy if you are looking for a breakfast substitute."
Amazon Customer,9,July,2019,July 2019,5,"Healthy , Tasty and Value for Money!!","This is the best Muesli that I have ever tasted. I am loving every bit of its flavour and the crunchiness very much. Best thing that I liked about the product is that it is not only a healthy breakfast option but has no added artificial flavour or sugar . The right mix of oats, quinoa, brown rice flakes, chia seeds,other combination of healthy seeds and last but not the least has loads of dry fruits which make it a perfect breakfast for managing weight and cholesterol. I would surely recommend this product and it is a complete value for money."
shailendra,9,July,2019,July 2019,3,Ok,"It's good . Not excellent for sure. You would need to add sugar to make it sweet.
Otherwise it's good.
Bit expensive though"
Gourab,9,July,2019,July 2019,5,Muesli,Good one
Dayanand patil,10,July,2019,July 2019,5,Yoga bars are really good go for it superb quality,It's too good muesli any another brands bagrry and keloggs yoga bar muesli it's superb blend mixture for healthy breakfast fruits nuts and seeds quantity quality it's best go for it without any high price brands
Fazil,10,July,2019,July 2019,5,No Sugar and perfect blend of flavors,A great berakfast companion. I love yogabar products. No Sugar and perfectly packed!! Once bought you might never change your mind for other options!
Amazon Customer,10,July,2019,July 2019,5,Awesome,"Good quality, healthy food"
Poorwa,10,July,2019,July 2019,5,Value for money!,It's a great product with amazing ingredients.
Tara Anand,11,July,2019,July 2019,4,Tasty and healthy,Settled on this muesli after a lot of research and we are on our second pack. It feels healthy and nutritious and tastes good too. We have it as a desert with yogurt topped with maple syrup and it tastes just yumm:)
Geethu,11,July,2019,July 2019,1,Added sugar present,Sugar free but added sugar present
indresha h r,11,July,2019,July 2019,5,Tasty and quality,It tastes nice it's wonderful to have with milk and at a good cost I am planning to order some packets best quality and worth for money
