name,day,month,year,time of year,rating,comment,detailedReview
Rahul Singh,19,November,2018,November 2018,5,Healthy breakfast,The taste is gud and comes with fruits and nuts. That is rich. Really love this product.
Amazon Customer,20,November,2018,November 2018,1,Dont buy,I would have zero star rating if there is an optn to do so..it is more of cornflakes and less of museli..bagry's museli is best..
Sachin Tribhuvan,4,December,2018,December 2018,5,Awesome,One of my favourite breakfast. Packed well.
SK,8,December,2018,December 2018,1,Different product received,Incorrect product was packed and despatched
Ak,9,December,2018,December 2018,5,Good,Ass uasal
tamanna malik,10,December,2018,December 2018,5,Hassle free,"Love the products were on time,packed nicely , all genuine , easy , huge discounts , and hassle free. Thanks Amazon xoxo"
Kndm,16,December,2018,December 2018,1,Disappointed,It's nothing like the Kellogg's crunchy muselli that I used to buy abroad... Even though it's the same product ! ... Very disappointing
sagar kulkarni,17,December,2018,December 2018,5,Nice,Nice
Sallu Hunk,20,December,2018,December 2018,1,Damaged box and seal broken.,The box is damaged and the packet inside is opened. It has a cut on the side and the contents are all over inside the box.
Malvika T.,20,December,2018,December 2018,5,Good,Good. Packing bad was nice
RajG,30,December,2018,December 2018,3,Ok,Ok
Ranjit S.,30,December,2018,December 2018,5,Good Quality,Quality and reasonable Price
Siddhi Gupta,4,January,2019,January 2019,1,Product already opened,The product that I received was already open. And its coming under the category of 'non-returnable'. Very poor.
Anna Antony,5,January,2019,January 2019,5,good,good
Nikhil,8,January,2019,January 2019,5,Good product,Amazing way to kick start your day
soni gupta,13,January,2019,January 2019,1,Seal broken,"I got the package with broken seal of muesli
It was in very bad condition"
sumeet kumar,14,January,2019,January 2019,5,Good,Excellent
Mannan Khambati,17,January,2019,January 2019,5,Great,Great
The Foody Journal,18,January,2019,January 2019,4,Yummy,"Our favourite breakfast item! No mushy texture of oats, no high sugar like most cereals...it falls somewhere between. Thoda health. Thoda taste"
Sicilian _sharpshooter,21,January,2019,January 2019,1,"Fruit and Nuts? No nuts, 5 fruits, and 2 raisins. Counted.","5 Fruits, 2 nuts, and this is Muesli Crunchy Fruit and Nut? Since when? Are you people takings us as stupid? Paid INR150 . Not worth INR50."
satheesh_Kumar,24,January,2019,January 2019,5,Excellent breakfast meal for kids.,I ordered this product for my baby. He loves to eat it. Excellent replacement for breakfast.
Asifraheman,26,January,2019,January 2019,5,Healthy,Gud
Saswat Nanda,27,January,2019,January 2019,4,Gaia is better,Gaia is better
dharsini,30,January,2019,January 2019,5,good,its very taste and filling.. i like it very much .
Leenus Jesu Martin,11,February,2019,February 2019,5,Fresh pack,Received a fresh pack. It is a favourite breakfast time for me. Fresh undamaged pack was delivered.
rohaan shaikh,12,February,2019,February 2019,4,Not extremely delicous .. just like ur usual muesli .. it is not completely natural,Okayish
Asha Achar,18,February,2019,February 2019,5,Tasty and go for it,Very tasty and crunchy. My personal fav too
Sushil,23,February,2019,February 2019,5,Nice Product. Tasty and healthy 🥣😋,package is good. Nice Product. Kellogg's Muesli is very nice and tasty.
Kanak C.,25,February,2019,February 2019,5,Excellent product !,"Excellent !
Excellent product of Kellogg's !
We all like/love it !
Healthy and testy !!!"
Priya Sharma,26,February,2019,February 2019,4,Good,Good
Sandhya s,26,February,2019,February 2019,5,Muesli,It's good
neena,27,February,2019,February 2019,2,Quality of product, It was a packet of fruit and nuts muslie but it didn't contain nuts with a few fruits and more like a packet of cornflakes.it was a crushed mixture.
Customer,28,February,2019,February 2019,5,Good,Nice
P.Raju,5,March,2019,March 2019,2,"This is not Muesli, rather Cornflakes","This is no way close to anything called as Muesli. In fact, it's a pack of Corn flakes with some fruits and nuts (hardly 1 to 2%). Can't believe a brand like Kellogg's is trying to cheat its customers charging high price by selling corn flakes in the name of Muesli. Not recommended !!
(PS : Having eaten Muesli in Europe for nearly 5 years I know exactly what it should contain)"
"Mrs. D'Silva, Mangalore, Karnataka",7,March,2019,March 2019,5,Super tasty,Delicious I loved it
rahul surve,7,March,2019,March 2019,5,Healthy and rich of nutrients,its a good product ... worth buying
Nandini,9,March,2019,March 2019,1,Damaged box n cover,Box was opened
Manoj Deulkar,10,March,2019,March 2019,5,Fresh,Best
Manish Choudhary,13,March,2019,March 2019,5,Bought again,Good packaging and fresh pantry
pranshul jain,16,March,2019,March 2019,5,So tasty,They are good
Amazon Customer,19,March,2019,March 2019,5,Go for it,Nice
B. D,23,March,2019,March 2019,5,Tasty,Tasty
Bhasker R,24,March,2019,March 2019,5,Nice,"Nice product, good for health"
Amazon_Cust,29,March,2019,March 2019,3,Price is little High,Taste is ok type
Jyoti Gupta,31,March,2019,March 2019,4,Value for money,Tastes good
customer,1,April,2019,April 2019,5,like it,i like it with both hot and cold milk. its quite nice
Jasmon Sharon Serrao,1,April,2019,April 2019,4,Nice product,Nice product
dhava,6,April,2019,April 2019,3,I am disappointed,Last time i brought this same ...it was soo gud..but this time it is full of corn flakes..other things are soo less..
Harshad,7,April,2019,April 2019,2,Opened box product with more cornflakes in it,"I ordered this product as part of Amazo Pantry. When received I noticed the box was opened while the inner packet was intact. In general, the Kellog's Muesli comes with combination of nuts, muesli and cornflakes.

To my surprise, once I opened the box, I could see that the content of the packages had only nuts and cornflakes with muesli almost non-existent. Too bad from Kellogg's."
Brijesh,8,April,2019,April 2019,1,Worms in Packet,There were worms in the packet. Be careful while eating.
Gus,9,April,2019,April 2019,5,Really good,Liked it more than other brands'
SATEESH SINGH,12,April,2019,April 2019,1,Damage packet,"Received damage/open packet,

Please collect and replace it"
Amazon Customer,22,April,2019,April 2019,5,Great product,Taste is also very good.
Kkunal jain,24,April,2019,April 2019,5,Good product,"Nice flavour, awesome taste!!!"
Jyoti kumari,5,May,2019,May 2019,5,Good to purchase,"Like the taste,love the flavour."
Senthil K.,19,May,2019,May 2019,1,Cereal was nearly at the end of shelf life.,"Item delivered was nearly at the end of its shelf life and so was not good to taste, especially the almond flakes in it."
Abhishek,21,May,2019,May 2019,4,Nic e,Great
Rizwana kanchwala,22,May,2019,May 2019,5,Healthy,Excellent
Chanakya sharma,26,May,2019,May 2019,1,Insect in packing,Found insect in tht packing
Dev,30,May,2019,May 2019,5,Simply the best option,"Taste is quite good, However the new Kellogg's granola is very tasty."
Sindhu,31,May,2019,May 2019,5,Tastes good.,Healthy.
Shilpa K R,2,June,2019,June 2019,1,The packet was cut opened,Utter nonsense.. The pack was in a very bad state and to add to it the pouch was cut opened which is done definitely on purpose.. on what trust can we use the remaining Kellogs.. Very very bad
sandeepsingh,6,June,2019,June 2019,5,Good,Like
Mona sanjay,7,June,2019,June 2019,4,Nice ..,Nice n crips n freah n yummy
Arshad Khan,9,June,2019,June 2019,5,Best breakfast,"This is the best breakfast you can ever have.
I used to add muesli cold milk and some honey. The honey makes a big difference in taste and enhances the taste.
This also contains everything you need in the morning, also has dried fruits in them, some might love the fruits some might just hate it there is no middle ground.

Please press the helpful button if this review helps you."
rohit,11,June,2019,June 2019,5,Tasty,Tasty
Manoj Garg,12,June,2019,June 2019,2,Muesly,Item is not crunchy and does not soak in milk quickly. Fruit bits are tasteless.
Delvin G.,12,June,2019,June 2019,5,Delicious!!!,Awesome to eat with or without milk!
Amazon Customer,16,June,2019,June 2019,5,Nice one,Good
Amazon Customer,16,June,2019,June 2019,2,Too cost get some discount,Too cost
Gaurav singh,16,June,2019,June 2019,5,All is good,Good
Amazon Customer,19,June,2019,June 2019,5,Good product,Very very good quality product . Price can be considered for reduction
REVANTH,27,June,2019,June 2019,5,Tasty and healthy,Nice breakfast cereal
Sanjeev Suri,29,June,2019,June 2019,5,just amazing,best and healthy breakfast
Navdeep Gandhi,1,July,2019,July 2019,5,Mast,Superb taste
Amazon Customer,1,July,2019,July 2019,5,Museli,Healthy breakfast on the go
Soujanya,4,July,2019,July 2019,5,Good one,Good one
Priyanka Saha,8,July,2019,July 2019,5,yummm,love it
Rachel,9,July,2019,July 2019,5,Yummy eat... to start your day with !,Good
s dhawale,10,July,2019,July 2019,4,Good,Good
Chetan,12,July,2019,July 2019,5,Good breakfast,Good breakfast
tanushree,14,July,2019,July 2019,3,ok,ok
rahul Jain,20,July,2019,July 2019,5,good for breakfast as an option..,Organic should be an option..
Seema,23,July,2019,July 2019,1,DON'T BUY.,"There are only corn flakes , no rice, barley etc. Cheating , what you say. Any thing can be sold online."
Srikanth vatti,23,July,2019,July 2019,5,Healthy and tasty,Excellent choice for breakfast.one medium bowl will give 3 to 4 hours energy.suggestable.nuts are too much heavily appear in each sip.its nice
Prasanta,24,July,2019,July 2019,5,v.good,v.good product
Yash,24,July,2019,July 2019,5,Yummy and healthy,Go for it
Supriya,26,July,2019,July 2019,4,Good,"Good taste, can have it without milk"
Jimmy,26,July,2019,July 2019,5,I give 5 star,I like taste
Suhas Patil,27,July,2019,July 2019,4,Good,Love it for breakfast. But seems costly.
Jasbir kaur,27,July,2019,July 2019,5,Good n health,Good
Sonali,31,July,2019,July 2019,5,Perfect thing to Have for Breakfast.,"It's perfect mixture of nuts and fruit gems, It tastes good. You can have it with milk for breakfast or just raw when you get cravings."
Archie,1,August,2019,August 2019,5,Good one !!,I always prefer Kellogg’s fruit n nuts.Its been favorite breakfast cereal for my family since long time.👍
Anu,4,August,2019,August 2019,4,tasty,best for your breakfast
Waseem,4,August,2019,August 2019,3,Healthy diet,Taste not good
Amazon Customer,5,August,2019,August 2019,5,Good Product,Good Product
Suresh,5,August,2019,August 2019,5,Good,Good
Bhavanu,6,August,2019,August 2019,3,Its cornflakes not nuesli,"as many ppl saying it is corn flakes ..very less muesli.
i ordered braggeey..u can compare muesli content..i m regular user of muesli by kellogg but after seeing muesli qty in braggerys.. shifted to it..not expected from kellog"
Dharmveer kumar,7,August,2019,August 2019,4,Testy,Very testy
vandana kumar,12,August,2019,August 2019,5,Good purchase,Nice
Ravi,12,August,2019,August 2019,5,good one,good product
Manasi Joshi,13,August,2019,August 2019,2,Too much sugar in the dry fruits used. Also worms formed within a month.,"The dry fruits in it are hardly there. Also, some of the cubed dry fruits are extremely high in sugars. Lastly, within short of a month, worms have formed inside the contents. Unacceptable!!"
Tarun,13,August,2019,August 2019,5,Flavours help me to eat this,Goood flavours
Deepak Gupta,14,August,2019,August 2019,5,Value for money,"Product quality is excellent and
100% genuine item and the price was great on Amazon"
subbarao,14,August,2019,August 2019,4,Good,Good
SKD,14,August,2019,August 2019,4,The best museli,Wonderful beakfast meal
ShivRam Sharma,15,August,2019,August 2019,3,No bed,Like
Rahul Jain,17,August,2019,August 2019,2,Cornflakes would have been a better buy,"This pack invariably contains the same cornflakes just processed with fruit cherries at effective 87% higher price than a normal pack of cornflakes.
The pack that I bought from a brick-and-mortar had better ingredients.
Don’t buy this from this seller. It felt to be a counterfird
Now decide!"
Amazon Customer,17,August,2019,August 2019,5,Good product,Ideal for snacking between meals without feeling guilty.
Srirupa Ghosh,19,August,2019,August 2019,5,good,makes my breakfast crunchy and yummy
Pallavi,21,August,2019,August 2019,4,Price,Highprice
Himanshu chhabra,22,August,2019,August 2019,4,Try once,Taste is awesome
vicky jagwani,24,August,2019,August 2019,4,Not so good product,Taste is ok but a bit costly
Pawan sai,24,August,2019,August 2019,5,Bshs,Hxhxhdh
uday krishna,30,August,2019,August 2019,3,medcine,ok ok type.
Princee Pathi,3,September,2019,September 2019,5,Great deal!,I have them in my breakfast daily! Healthy and full of nuts! Makes u feel full.
priyanka thapa,3,September,2019,September 2019,5,Great,Very good product
Aman,5,September,2019,September 2019,5,Nice,Delicious taste
Amazon Customer,7,September,2019,September 2019,5,"Crunchy, with great taste!",Crunchier as compared to all other brands.
shubham,9,September,2019,September 2019,5,Good food,Healthy
Yash,10,September,2019,September 2019,1,Packet came cut open,Photos attached.The cereal was all over the bag.Seller not approving my review.
Feroz K.,11,September,2019,September 2019,1,"Don't waste your money,as I wasted after buying it","Don't ever buy this product.
It is very old stock.
The smell and grains are smelling bad"
Ian Gillott,12,September,2019,September 2019,5,Great,Great
Geeta,18,September,2019,September 2019,4,Good,Like flavor
SUPRATIV SAHA,19,September,2019,September 2019,5,Best product at good price.,Great taste. Buy it now.
Rajeev,20,September,2019,September 2019,5,Great,It's great .
Surath Bandyopadhyay,21,September,2019,September 2019,1,Package damaged.,"The package is damaged and inner package open, possibility of damp and damaged. Advice the next course of action."
Saurabh Rai,23,September,2019,September 2019,5,Kellogs muesli best,"Kellogs muesli, the best breakfast of morning.
Generally for office goers. And those who work really hard everyday."
sundar,24,September,2019,September 2019,5,Muesli,Nice flavour and good crunchy kids liked it very much and me to like the way it was
Avi,5,October,2019,October 2019,5,As in shop,Thanks
Amazon Customer,5,October,2019,October 2019,5,good,nice
Swapna,5,October,2019,October 2019,4,Nice,Good product
shikha rathore,5,October,2019,October 2019,5,Go for it!!,Best breakfast
saloni,6,October,2019,October 2019,5,Value of money,Total value of money
Smith,7,October,2019,October 2019,5,Wonderful healthy breakfast,Nice breakfast to have
Gaurav Gandhi,7,October,2019,October 2019,4,Good,Good
SK,8,October,2019,October 2019,5,Searching....,"Yes it is nice taste ,flavour r also good as I have already tasted
But the thing i was worried about the persons who have commented on this that the product is having some insects inside
That was only worried thing .Every time i was searching for that
It was like irritating memory for me..🤔"
Kabita Prasad,8,October,2019,October 2019,4,Good for heathy breakfast.,Good flavour.
U BHARAT RAJ,8,October,2019,October 2019,4,Quick breakfast,Good
Amazon Customer,9,October,2019,October 2019,5,Awesome,Awesome
Koduru Harika,9,October,2019,October 2019,5,Nice,Nice
pradeep,11,October,2019,October 2019,5,Value for money,Excellent for morning breakfast
Vivek,11,October,2019,October 2019,5,Mast,I always use it
Satish bisht,12,October,2019,October 2019,4,Esme kede pde thy white coler ke khol kr fekna pda feed bak ka pta hota to pic jarur add karta,This product verry bed cundution
Anamika singh,15,October,2019,October 2019,5,Delicious BF for working person,Very tasty and nutritious breakfast for working person.
Rushikesh,16,October,2019,October 2019,4,Super Muesli Brakfast Bowl,"I order this usually. But this time my parcal did not reach to me and after i check on my order it was delivered successful. So i call amazone customer care and tell them what happened. Now issue is solved.
And review about this product is this is my favourite breakfast i like the fruit & nuts flavour it is more taste when i add fresh bananas and cheia seeds."
thivagar,17,October,2019,October 2019,5,Healthy Breakfast,"Good packaging, delivered on time,no damage and the product is good"
Madhavan,18,October,2019,October 2019,1,Not a good move,kellogs pack was opened when it came and can't believe it is real kellogs. Very disappointed
drsumit,18,October,2019,October 2019,5,Quick food,flavour is awesome but Price is bit high
sumit,21,October,2019,October 2019,5,Too much cheap,Too much cheap
Ritobrita Mukhopadhyay,22,October,2019,October 2019,5,Healthy and perfect breakfast,It's just awesome. Everyone loves it in my family. Perfect breakfast solution. Best thing is that fruit pieces are very very tasty.
Punam Ashok Gawade,22,October,2019,October 2019,5,taste good 😋,Nice breakfast 👌👌👌
Amazon Customer,24,October,2019,October 2019,1,Small Insects and Red Ants Detected,While opened the box i found small insects and red ants. Strictly No to this product. Dnt make mistake of buying this product.
r kiran chand,26,October,2019,October 2019,4,Choose,Taste is good
Purva patel,26,October,2019,October 2019,1,Don't buy it,Not good
Amazon Customer,28,October,2019,October 2019,5,Good product,Good
DINESHANAND,28,October,2019,October 2019,4,Nice,Good
Amazon Customer,28,October,2019,October 2019,5,Testy breakfast,Beoutiful
Amazon shoper,30,October,2019,October 2019,4,Good healthy,Good
Bp baghel,30,October,2019,October 2019,5,Very fine items for health,Very like
swayamsiddha,3,November,2019,November 2019,5,Good,Good
Sumit Angira,3,November,2019,November 2019,4,Worth to buy,Goodbye taste
K. Popli,3,November,2019,November 2019,5,Great tasting,I bought this for my mom. She absolutely loves it
Akhilesh,3,November,2019,November 2019,5,Best deal,Best deal
T sadik ahamed,4,November,2019,November 2019,5,Very nice,Very nice product for breakfast
Kanoj biswal,6,November,2019,November 2019,5,Must Buy,Crunchy and superb taste
sailusha,7,November,2019,November 2019,5,Too good,Superb worth for money and fast delivery also satisfied
Anjum,9,November,2019,November 2019,5,Awesome for health,Value for money
Bhavika,11,November,2019,November 2019,3,good taste,good
Meghana,11,November,2019,November 2019,5,Tasty,Taste is good
Amazon Customer,11,November,2019,November 2019,1,Do not buy,Do not buy
Sarthak,13,November,2019,November 2019,5,Bad,It’s bad because I have ordered two packets of Kellogg’s muesli crunchy fruits and nuts but I have received only one pack I had payed money for two
Stephen Wright,13,November,2019,November 2019,5,good start to the day,Excellent
Sayantan M.,19,November,2019,November 2019,4,Ok,Ok
Gyanendra Sinha,20,November,2019,November 2019,3,Nil,Nil
Bijaya Das,20,November,2019,November 2019,5,🤩,Nice test
Mustufa,21,November,2019,November 2019,5,Good,"Nice I like

🏅"
ripul gupta,21,November,2019,November 2019,5,Very Tasty,It's yum & good for breakfast 😊👍
Amazon Customer,25,November,2019,November 2019,4,Superb,I like This dress
Amazon Customer,26,November,2019,November 2019,1,Kellogg’s packer not sealed,The packet was not sealed and the product was lying outside of the product
Swati Majumder,29,November,2019,November 2019,4,Kellogg's,Like
Kajal Mittal,2,December,2019,December 2019,5,Good in taste,Better than other products...
Needs,6,December,2019,December 2019,4,Best price offer for said product.,Value for money.
Pranay,6,December,2019,December 2019,5,Good,Good
Kiran Kumar,9,December,2019,December 2019,5,Fantastic product,Everything fantastic
Anand singh shekhawat,12,December,2019,December 2019,1,Received open packet....,Received open packet...
Alex,15,December,2019,December 2019,5,Eat fit,Good product with healthy brkfst
Amazon Customer,20,December,2019,December 2019,5,Good product,Good stuff
Milton Cliffy,21,December,2019,December 2019,5,Very good,Very good
Swagatika Mohanty,21,December,2019,December 2019,5,Tasty,Value for money
Sanjeev Soni,25,December,2019,December 2019,5,Healthy and tasty,Better than other company cereals.
Shimul D.,1,January,2020,January 2020,4,ok produect,I feel quality less than before
Amazon Customer,3,January,2020,January 2020,5,Tasty,Our daily breakfast now a days. Love the taste when mixed with milk. Actual price is Rs 300 but in Amazon pantry only Rs 250. Thank you so much for the discount.
Amazon Customer,7,January,2020,January 2020,1,Damaged product receives,Received packet in damaged condition
rohit gulyani,13,January,2020,January 2020,4,Nice,"Nice,sugar is lil high"
pradeep joshi,13,January,2020,January 2020,5,Testy breakfast,Nice quality product
Janaki Dinakar,13,January,2020,January 2020,2,Lots of cornflakes,Lots of cornflakes. Not worth buying.
ade,17,January,2020,January 2020,1,Not worth compared to market product..,No mueseli and no fruits nor much almonds... lot of difference in what you get in the market.. same price tho..
Pramod Kumar,23,January,2020,January 2020,5,For everyone.,Nutritious .
ankur,24,January,2020,January 2020,4,Nice and scrumptious!,"Have been using this for way too long, still one of the best muesli available in India."
Kiran Chavan,27,January,2020,January 2020,1,Worst taste,Did not like the taste
Rekha Mohan,29,January,2020,January 2020,5,Good,My kids like it.
Amazon Customer,31,January,2020,January 2020,5,Great Breakfast Alternative,Best for people on diet..healthy breakfast
S B,2,February,2020,February 2020,5,Fine,"Bit costly, else it's fine"
N S.,3,February,2020,February 2020,4,Tasty cereal from Kellogg's.,"Tasty breakfast cereal. A bit expensive at the MRP, however, worth it at the discounted price."
Amazon Customer,11,February,2020,February 2020,5,Good,Good
anirudh Verma,13,February,2020,February 2020,2,Duplicate product,Seems like the product is duplicate as we do not see and Berry's in the packet
Vignesh,16,February,2020,February 2020,5,Good,Good
Amazon Customer,18,February,2020,February 2020,5,Nice product for diet,Tastes awesome
Manmay Rout,18,February,2020,February 2020,4,Good,Good and healthy
Bhavya Manasa,18,February,2020,February 2020,5,Good,Flavor
Amazon Customer,24,February,2020,February 2020,1,Insects in the Muesli,There are insects in the muesli
Amazon Customer,28,February,2020,February 2020,4,V good,Good Sugar free product
Balamurugan. d,1,March,2020,March 2020,4,Good,Nothing
Adrita Biswas,1,March,2020,March 2020,5,Good,Good
Bhavanu,1,March,2020,March 2020,2,Fake muesli more cornflakes,"Compare to baggry check ingredients carefully.
Its name muesli but it has 30%+ cornflakes.
Cereal is not for taste ..this product is misleading. Compare n see for urself the amount of corn flakes muesli nuts etc.."
Babu Yelamanchili,2,March,2020,March 2020,5,Bigger is cheaper,Value for money pk
Cliente Amazon,2,March,2020,March 2020,5,Excellent,Tasty n nutty
Shalabh dhumal,2,March,2020,March 2020,5,Tasty,Good and tasty....
KINJAL THAKKAR,3,March,2020,March 2020,5,Good,Good
SV,4,March,2020,March 2020,1,Not happy,Patanjali is better. Has more dry fruits
Amazon Customer,4,March,2020,March 2020,3,Not enough fruit & nuts,"Disappointing, mostly just corn and some bran flakes, too little fruit and nuts to be called muesli!"
Aditya Agrawal,4,March,2020,March 2020,5,Overall good experience,Good packaging and good taste.
Amazon Customer,4,March,2020,March 2020,5,Healthy,Super tasty and healthy
Sanket Senapati,6,March,2020,March 2020,5,Is prroduct value for money ?? My. Ans is yes..,I love the teste. If any one have any other query you can ask me freely..
Rakesh Das,7,March,2020,March 2020,5,Good,Very tasty. Different from Normal Cornflakes.
Amazon Customer,7,March,2020,March 2020,5,Good beeakfast cereal,I always but it on sale so at that price its very amazing.
raviteja,7,March,2020,March 2020,3,Taste,Taste was not good
